bank_fabric,eval_fabric,in_distribution,tile_auroc,pixel_auroc,n_clean_test,n_defect
00,00,True,0.9155,0.9513,120,7
00,01,False,0.8856,0.9656,120,26
00,02,False,0.8388,0.9214,120,41
00,03,False,0.5431,0.2485,120,86
00,04,False,0.5523,0.9788,120,11
00,06,False,0.4403,0.9164,120,6
01,00,False,0.4679,0.5854,120,7
01,01,True,0.9785,0.9796,120,26
01,02,False,0.8035,0.8338,120,41
01,03,False,0.4723,0.1332,120,86
01,04,False,0.6136,0.9427,120,11
01,06,False,0.6708,0.8833,120,6
02,00,False,0.194,0.358,120,7
02,01,False,0.8853,0.9657,120,26
02,02,True,0.8085,0.9803,120,41
02,03,False,0.6176,0.2159,120,86
02,04,False,0.5545,0.9651,120,11
02,06,False,0.65,0.662,120,6
03,00,False,0.7155,0.809,120,7
03,01,False,0.8657,0.9441,120,26
03,02,False,0.6364,0.8936,120,41
03,03,True,0.9386,0.967,120,86
03,04,False,0.5788,0.9622,120,11
03,06,False,0.3653,0.7161,120,6
04,00,False,0.5167,0.6161,120,7
04,01,False,0.8795,0.9581,120,26
04,02,False,0.5947,0.9301,120,41
04,03,False,0.575,0.1904,120,86
04,04,True,0.7311,0.9963,120,11
04,06,False,0.8236,0.8678,120,6
06,00,False,0.3738,0.6107,120,7
06,01,False,0.9,0.9569,120,26
06,02,False,0.6665,0.9502,120,41
06,03,False,0.5403,0.192,120,86
06,04,False,0.6492,0.984,120,11
06,06,True,0.7806,0.9514,120,6
