backbone,fabric,embed_dim,projection_dim,bank_size,tile_auroc,pixel_auroc,fit_s,score_s_per_tile,n_clean_test,n_defect,cpu_s_per_tile
resnet18,00,384,128,1200,0.9155,0.9513,3.8,0.0078,120,7,0.0366
resnet18,01,384,128,1200,0.9785,0.9796,1.71,0.008,120,26,0.0366
resnet18,02,384,128,1200,0.8085,0.9803,1.51,0.0077,120,41,0.0366
resnet18,03,384,128,1200,0.9386,0.967,1.46,0.0072,120,86,0.0366
resnet18,04,384,128,1200,0.7311,0.9963,1.48,0.0072,120,11,0.0366
resnet18,06,384,128,1200,0.7806,0.9514,1.5,0.0072,120,6,0.0366
wide_resnet50_2,00,1536,128,1200,0.969,0.9783,60.99,0.0218,120,7,0.1756
wide_resnet50_2,01,1536,128,1200,0.999,0.9811,2.91,0.0209,120,26,0.1756
wide_resnet50_2,02,1536,128,1200,0.9508,0.9865,3.02,0.0223,120,41,0.1756
wide_resnet50_2,03,1536,128,1200,0.9576,0.9566,3.67,0.0229,120,86,0.1756
wide_resnet50_2,04,1536,128,1200,0.9924,0.9993,3.54,0.0238,120,11,0.1756
wide_resnet50_2,06,1536,128,1200,1.0,0.9968,3.45,0.0206,120,6,0.1756
