fabric,requested_tail_fraction,fa_per_100m_at_bench_scale,refused,refusal,threshold,abstain_low,realised_tail_fraction,ratio,n_exceed,n_calibration_tiles,n_validation_tiles
00,0.005,33.3,True,unstable_tail,,,,,,406,407
00,0.01,66.6,True,unstable_tail,,,,,,406,407
00,0.02,133.2,True,unstable_tail,,,,,,406,407
00,0.03,199.9,False,,5.9846,5.04,0.01966,0.655,8,406,407
00,0.05,333.1,False,,5.6507,4.7673,0.04423,0.885,18,406,407
00,0.075,499.7,False,,5.365,4.5034,0.0688,0.917,28,406,407
00,0.1,666.2,False,,5.1759,4.2774,0.09337,0.934,38,406,407
00,0.15,999.3,False,,5.04,3.9223,0.12776,0.852,52,406,407
00,0.2,1332.4,False,,4.8872,3.4161,0.16708,0.835,68,406,407
01,0.005,33.3,True,unstable_tail,,,,,,552,552
01,0.01,66.6,True,unstable_tail,,,,,,552,552
01,0.02,133.2,False,,9.2771,7.7501,0.01268,0.634,7,552,552
01,0.03,199.9,False,,9.0556,6.0309,0.01449,0.483,8,552,552
01,0.05,333.1,False,,8.7625,5.288,0.02717,0.543,15,552,552
01,0.075,499.7,False,,8.1957,5.0467,0.06341,0.845,35,552,552
01,0.1,666.2,False,,7.7501,4.8984,0.09058,0.906,50,552,552
01,0.15,999.3,False,,6.0309,4.6955,0.15217,1.014,84,552,552
01,0.2,1332.4,False,,5.5215,4.199,0.2029,1.014,112,552,552
02,0.005,33.3,True,unstable_tail,,,,,,555,555
02,0.01,66.6,True,unstable_tail,,,,,,555,555
02,0.02,133.2,False,,9.0403,6.413,0.02342,1.171,13,555,555
02,0.03,199.9,False,,8.3539,6.0893,0.02883,0.961,16,555,555
02,0.05,333.1,False,,7.2708,5.648,0.04865,0.973,27,555,555
02,0.075,499.7,False,,6.7172,5.3486,0.07207,0.961,40,555,555
02,0.1,666.2,False,,6.413,5.1474,0.09189,0.919,51,555,555
02,0.15,999.3,False,,6.0893,4.8638,0.13514,0.901,75,555,555
02,0.2,1332.4,False,,5.8329,4.3028,0.17658,0.883,98,555,555
03,0.005,33.3,True,unstable_tail,,,,,,430,430
03,0.01,66.6,True,unstable_tail,,,,,,430,430
03,0.02,133.2,True,unstable_tail,,,,,,430,430
03,0.03,199.9,False,,3.822,3.3259,0.03721,1.24,16,430,430
03,0.05,333.1,False,,3.5996,3.1936,0.06512,1.302,28,430,430
03,0.075,499.7,False,,3.5009,3.1013,0.0814,1.085,35,430,430
03,0.1,666.2,False,,3.4208,3.0181,0.1093,1.093,47,430,430
03,0.15,999.3,False,,3.3259,2.8824,0.15814,1.054,68,430,430
03,0.2,1332.4,False,,3.2618,2.5656,0.20465,1.023,88,430,430
04,0.005,33.3,True,unstable_tail,,,,,,505,505
04,0.01,66.6,True,unstable_tail,,,,,,505,505
04,0.02,133.2,True,unstable_tail,,,,,,505,505
04,0.03,199.9,False,,8.1096,6.9967,0.04158,1.386,21,505,505
04,0.05,333.1,False,,7.7516,6.4713,0.06733,1.347,34,505,505
04,0.075,499.7,False,,7.4652,6.0198,0.09703,1.294,49,505,505
04,0.1,666.2,False,,7.265,5.6775,0.13663,1.366,69,505,505
04,0.15,999.3,False,,6.9967,5.1895,0.17228,1.149,87,505,505
04,0.2,1332.4,False,,6.6912,4.595,0.2198,1.099,111,505,505
05,0.005,33.3,True,unstable_tail,,,,,,560,560
05,0.01,66.6,True,unstable_tail,,,,,,560,560
05,0.02,133.2,False,,9.6687,7.2906,0.02143,1.071,12,560,560
05,0.03,199.9,False,,9.3398,7.0523,0.03036,1.012,17,560,560
05,0.05,333.1,False,,8.1932,6.6788,0.04643,0.929,26,560,560
05,0.075,499.7,False,,7.494,6.3389,0.09107,1.214,51,560,560
05,0.1,666.2,False,,7.2906,6.0991,0.10893,1.089,61,560,560
05,0.15,999.3,False,,7.0523,5.5983,0.15536,1.036,87,560,560
05,0.2,1332.4,False,,6.8435,5.0579,0.20893,1.045,117,560,560
06,0.005,33.3,True,unstable_tail,,,,,,475,475
06,0.01,66.6,True,unstable_tail,,,,,,475,475
06,0.02,133.2,True,unstable_tail,,,,,,475,475
06,0.03,199.9,False,,7.154,5.9337,0.01684,0.561,8,475,475
06,0.05,333.1,False,,6.7063,5.6359,0.03579,0.716,17,475,475
06,0.075,499.7,False,,6.3888,5.3978,0.05474,0.73,26,475,475
06,0.1,666.2,False,,6.1712,5.2308,0.09053,0.905,43,475,475
06,0.15,999.3,False,,5.9337,4.9173,0.14526,0.968,69,475,475
06,0.2,1332.4,False,,5.7719,4.3434,0.19158,0.958,91,475,475
