coreset_frac,coreset_method,fabric,bank_size,tile_auroc,pixel_auroc,fit_s,n_clean_test,n_defect,cpu_ms_per_tile
0.01,greedy,00,120,0.8274,0.9138,2.73,120,7,36.7
0.01,greedy,01,120,0.9827,0.9779,0.85,120,26,36.7
0.01,greedy,02,120,0.835,0.9735,0.75,120,41,36.7
0.01,greedy,03,120,0.8989,0.9373,0.77,120,86,36.7
0.01,greedy,04,120,0.797,0.9874,0.77,120,11,36.7
0.01,greedy,06,120,0.7681,0.8939,0.77,120,6,36.7
0.01,random,00,120,0.8512,0.8923,0.78,120,7,38.0
0.01,random,01,120,0.9244,0.9762,0.72,120,26,38.0
0.01,random,02,120,0.7392,0.971,0.9,120,41,38.0
0.01,random,03,120,0.7346,0.9324,0.69,120,86,38.0
0.01,random,04,120,0.7053,0.9801,0.89,120,11,38.0
0.01,random,06,120,0.6722,0.8275,0.7,120,6,38.0
0.05,greedy,00,600,0.9119,0.9293,1.16,120,7,38.8
0.05,greedy,01,600,0.9792,0.9797,1.3,120,26,38.8
0.05,greedy,02,600,0.8191,0.9807,1.24,120,41,38.8
0.05,greedy,03,600,0.9349,0.9585,1.26,120,86,38.8
0.05,greedy,04,600,0.7455,0.9962,1.16,120,11,38.8
0.05,greedy,06,600,0.8361,0.9438,1.12,120,6,38.8
0.05,random,00,600,0.8321,0.919,0.8,120,7,38.7
0.05,random,01,600,0.924,0.9776,0.8,120,26,38.7
0.05,random,02,600,0.7724,0.9753,0.71,120,41,38.7
0.05,random,03,600,0.7501,0.9522,0.73,120,86,38.7
0.05,random,04,600,0.7152,0.9864,0.65,120,11,38.7
0.05,random,06,600,0.6292,0.875,0.65,120,6,38.7
0.1,greedy,00,1200,0.9155,0.9513,1.58,120,7,40.4
0.1,greedy,01,1200,0.9785,0.9796,1.63,120,26,40.4
0.1,greedy,02,1200,0.8085,0.9803,1.74,120,41,40.4
0.1,greedy,03,1200,0.9386,0.967,1.75,120,86,40.4
0.1,greedy,04,1200,0.7311,0.9963,1.49,120,11,40.4
0.1,greedy,06,1200,0.7806,0.9514,1.58,120,6,40.4
0.1,random,00,1200,0.8643,0.926,0.61,120,7,38.5
0.1,random,01,1200,0.941,0.9778,0.61,120,26,38.5
0.1,random,02,1200,0.7506,0.9772,0.6,120,41,38.5
0.1,random,03,1200,0.8466,0.9576,0.6,120,86,38.5
0.1,random,04,1200,0.7023,0.989,0.6,120,11,38.5
0.1,random,06,1200,0.5375,0.9047,0.6,120,6,38.5
0.25,greedy,00,3000,0.9179,0.9435,2.77,120,7,40.2
0.25,greedy,01,3000,0.9792,0.9792,2.84,120,26,40.2
0.25,greedy,02,3000,0.7978,0.9797,2.79,120,41,40.2
0.25,greedy,03,3000,0.9303,0.967,2.86,120,86,40.2
0.25,greedy,04,3000,0.6462,0.9954,2.86,120,11,40.2
0.25,greedy,06,3000,0.7361,0.9427,2.8,120,6,40.2
0.25,random,00,3000,0.9238,0.9384,0.6,120,7,38.4
0.25,random,01,3000,0.966,0.9787,0.6,120,26,38.4
0.25,random,02,3000,0.7854,0.9784,0.6,120,41,38.4
0.25,random,03,3000,0.8951,0.9621,0.59,120,86,38.4
0.25,random,04,3000,0.6303,0.991,0.6,120,11,38.4
0.25,random,06,3000,0.75,0.9329,0.58,120,6,38.4
1.0,none,00,12000,0.9048,0.94,0.65,120,7,54.4
1.0,none,01,12000,0.9772,0.9792,0.61,120,26,54.4
1.0,none,02,12000,0.7856,0.9796,0.59,120,41,54.4
1.0,none,03,12000,0.9285,0.9662,0.62,120,86,54.4
1.0,none,04,12000,0.6303,0.9935,0.59,120,11,54.4
1.0,none,06,12000,0.6722,0.9478,0.59,120,6,54.4
