n_normal_tiles,fabric,bank_size,tile_auroc,pixel_auroc,n_clean_test,n_defect
5,00,200,0.8226,0.8826,120,7
5,01,200,0.9593,0.9788,120,26
5,02,200,0.7169,0.9655,120,41
5,03,200,0.8854,0.9254,120,86
5,04,200,0.6598,0.9926,120,11
5,06,200,0.9014,0.8831,120,6
10,00,400,0.844,0.9056,120,7
10,01,400,0.9731,0.979,120,26
10,02,400,0.8033,0.975,120,41
10,03,400,0.8851,0.9278,120,86
10,04,400,0.647,0.9902,120,11
10,06,400,0.7028,0.8319,120,6
20,00,800,0.8821,0.9254,120,7
20,01,800,0.9753,0.9795,120,26
20,02,800,0.7994,0.9776,120,41
20,03,800,0.9136,0.9662,120,86
20,04,800,0.7288,0.9951,120,11
20,06,800,0.7639,0.8911,120,6
30,00,1200,0.9226,0.9531,120,7
30,01,1200,0.9769,0.9795,120,26
30,02,1200,0.8035,0.9802,120,41
30,03,1200,0.9237,0.9666,120,86
30,04,1200,0.7364,0.9968,120,11
30,06,1200,0.775,0.9492,120,6
50,00,2000,0.9488,0.9535,120,7
50,01,2000,0.9814,0.9795,120,26
50,02,2000,0.8169,0.979,120,41
50,03,2000,0.9242,0.9664,120,86
50,04,2000,0.7098,0.9953,120,11
50,06,2000,0.9264,0.9705,120,6
100,00,4000,0.9607,0.9613,120,7
100,01,4000,0.9862,0.9795,120,26
100,02,4000,0.8356,0.9806,120,41
100,03,4000,0.9298,0.9696,120,86
100,04,4000,0.775,0.9969,120,11
100,06,4000,0.875,0.97,120,6
