condition,held_out_fabric,epoch,loss,steps
in_distribution,,1,0.7697,2
in_distribution,,2,0.7564,2
in_distribution,,3,0.74784,2
in_distribution,,4,0.74105,2
in_distribution,,5,0.73923,2
in_distribution,,6,0.72495,2
in_distribution,,7,0.72466,2
in_distribution,,8,0.72273,2
in_distribution,,9,0.7121,2
in_distribution,,10,0.71083,2
in_distribution,,11,0.70767,2
in_distribution,,12,0.70563,2
in_distribution,,13,0.69592,2
in_distribution,,14,0.69286,2
in_distribution,,15,0.69283,2
in_distribution,,16,0.68608,2
in_distribution,,17,0.68305,2
in_distribution,,18,0.68124,2
in_distribution,,19,0.68217,2
in_distribution,,20,0.67327,2
in_distribution,,21,0.67098,2
in_distribution,,22,0.66557,2
in_distribution,,23,0.66468,2
in_distribution,,24,0.65995,2
in_distribution,,25,0.6605,2
in_distribution,,26,0.65325,2
in_distribution,,27,0.65711,2
in_distribution,,28,0.64966,2
in_distribution,,29,0.64564,2
in_distribution,,30,0.64239,2
lofo,01,1,0.76227,3
lofo,01,2,0.74617,3
lofo,01,3,0.73442,3
lofo,01,4,0.72575,3
lofo,01,5,0.71768,3
lofo,01,6,0.71086,3
lofo,01,7,0.70327,3
lofo,01,8,0.69672,3
lofo,01,9,0.68693,3
lofo,01,10,0.68383,3
lofo,01,11,0.67778,3
lofo,01,12,0.67317,3
lofo,01,13,0.66646,3
lofo,01,14,0.6656,3
lofo,01,15,0.6567,3
lofo,01,16,0.65548,3
lofo,01,17,0.6491,3
lofo,01,18,0.64709,3
lofo,01,19,0.64409,3
lofo,01,20,0.63769,3
lofo,01,21,0.63353,3
lofo,01,22,0.63013,3
lofo,01,23,0.62533,3
lofo,01,24,0.62426,3
lofo,01,25,0.61983,3
lofo,01,26,0.61736,3
lofo,01,27,0.61057,3
lofo,01,28,0.60714,3
lofo,01,29,0.60052,3
lofo,01,30,0.60537,3
lofo,02,1,0.76865,2
lofo,02,2,0.75404,2
lofo,02,3,0.74674,2
lofo,02,4,0.73814,2
lofo,02,5,0.7297,2
lofo,02,6,0.72539,2
lofo,02,7,0.7213,2
lofo,02,8,0.71196,2
lofo,02,9,0.70737,2
lofo,02,10,0.70299,2
lofo,02,11,0.69958,2
lofo,02,12,0.69652,2
lofo,02,13,0.69362,2
lofo,02,14,0.686,2
lofo,02,15,0.69003,2
lofo,02,16,0.67957,2
lofo,02,17,0.67448,2
lofo,02,18,0.67371,2
lofo,02,19,0.67099,2
lofo,02,20,0.66599,2
lofo,02,21,0.66261,2
lofo,02,22,0.66359,2
lofo,02,23,0.66001,2
lofo,02,24,0.65549,2
lofo,02,25,0.65022,2
lofo,02,26,0.64892,2
lofo,02,27,0.64766,2
lofo,02,28,0.64423,2
lofo,02,29,0.64338,2
lofo,02,30,0.64147,2
lofo,03,1,0.77315,2
lofo,03,2,0.75723,2
lofo,03,3,0.75048,2
lofo,03,4,0.7431,2
lofo,03,5,0.74033,2
lofo,03,6,0.72788,2
lofo,03,7,0.72791,2
lofo,03,8,0.72514,2
lofo,03,9,0.71584,2
lofo,03,10,0.71063,2
lofo,03,11,0.70799,2
lofo,03,12,0.7086,2
lofo,03,13,0.69548,2
lofo,03,14,0.69389,2
lofo,03,15,0.69413,2
lofo,03,16,0.68855,2
lofo,03,17,0.68702,2
lofo,03,18,0.68191,2
lofo,03,19,0.67792,2
lofo,03,20,0.67411,2
lofo,03,21,0.67088,2
lofo,03,22,0.66799,2
lofo,03,23,0.66454,2
lofo,03,24,0.66147,2
lofo,03,25,0.65724,2
lofo,03,26,0.65245,2
lofo,03,27,0.65278,2
lofo,03,28,0.65103,2
lofo,03,29,0.64414,2
lofo,03,30,0.63931,2
lofo,04,1,0.76454,3
lofo,04,2,0.74641,3
lofo,04,3,0.73843,3
lofo,04,4,0.72629,3
lofo,04,5,0.72054,3
lofo,04,6,0.71121,3
lofo,04,7,0.70543,3
lofo,04,8,0.6966,3
lofo,04,9,0.69004,3
lofo,04,10,0.68645,3
lofo,04,11,0.67767,3
lofo,04,12,0.6768,3
lofo,04,13,0.67153,3
lofo,04,14,0.66467,3
lofo,04,15,0.65721,3
lofo,04,16,0.65678,3
lofo,04,17,0.65087,3
lofo,04,18,0.64882,3
lofo,04,19,0.64301,3
lofo,04,20,0.63933,3
lofo,04,21,0.63747,3
lofo,04,22,0.63749,3
lofo,04,23,0.62811,3
lofo,04,24,0.6253,3
lofo,04,25,0.62298,3
lofo,04,26,0.62248,3
lofo,04,27,0.61516,3
lofo,04,28,0.6103,3
lofo,04,29,0.60879,3
lofo,04,30,0.6027,3
